Date,Op,High,Low,Close,Volume,Adj Close,RSI14,MarketCap
03/06/2009,143,146,142,146,4236400,146,null,412312267250
03/09/2009,144,146,141,141,3589000,146,null,398191984125
03/10/2009,143,146,142,146,4699600,141,null,412312267250
03/11/2009,148,149,144,144,5084600,146,null,406664154000
03/12/2009,144,145,143,144,1485300,144,null,406664154000
03/13/2009,147,152,147,150,9942500,144,null,423608493750
03/16/2009,149,149,147,149,4005200,150,null,420784437125
03/17/2009,149,152,147,147,6143300,149,null,415136323875
03/18/2009,149,149,147,148,2174500,147,null,417960380500
03/19/2009,148,153,148,149,5773400,148,null,420784437125
03/20/2009,152,153,150,151,4247500,149,null,426432550375
03/23/2009,153,161,152,160,17341800,151,null,451849060000
03/24/2009,162,163,158,161,10667300,160,null,454673116625
03/25/2009,160,161,158,160,6614200,161,null,451849060000
03/26/2009,160,164,159,161,11146600,160,69.4444,454673116625
03/27/2009,162,163,159,160,6631100,161,67.4274,451849060000
03/30/2009,157,157.5,151,152,8250400,160,53.9316,429256607000
03/31/2009,153,154,152,152.5,4413200,152,54.544,430668635312
04/01/2009,153.5,153.5,151,151.5,3886100,152.5,53.0258,427844578688
04/02/2009,153.5,159,153,158,8718900,151.5,60.6856,446200946750
04/03/2009,159.5,162,158,162,9034000,158,64.5199,457497173250
04/07/2009,161.5,164,159,160,7093900,162,61.3007,451849060000
04/08/2009,158,160,158,160,4876500,160,61.3007,451849060000
04/09/2009,160.5,164.5,160,161,6944700,160,62.3889,454673116625
04/10/2009,163,166,160.5,165.5,7695600,161,66.8995,467381371438
04/16/2009,164,166,160.5,163,20592400,165.5,62.4207,460321229875
04/17/2009,165,170,163.5,169,17380900,163,67.964,477265569625
04/20/2009,169.5,182,168.5,178,19056500,169,74.1288,502682079250
04/21/2009,174,177,173.5,176.5,10282500,178,71.6539,498445994312
04/22/2009,178,179.5,171.5,173.5,10494400,176.5,66.8471,489973824438
04/23/2009,174,177,173,176.5,5658400,173.5,69.0808,498445994312
04/24/2009,178.5,182,178,180,14188100,176.5,71.494,508330192500
04/27/2009,179.5,184.5,179.5,182,7767900,180,72.8003,513978305750
04/28/2009,184,186.5,179,181,13791100,182,71.0471,511154249125
04/29/2009,182.5,185,180.5,185,8119900,181,73.7684,522450475625
04/30/2009,188,191,187.5,189.5,10722600,185,76.45,535158730438
05/04/2009,193,200,191.5,199.5,10664000,189.5,81.079,563399296688
05/06/2009,201,212,200,212,15955100,199.5,85.038,598700004500
05/07/2009,218,219,211,212,13609500,212,85.038,598700004500
05/11/2009,215,221,212,220,17954000,212,87.0493,621292457500
05/12/2009,217,220,215,220,9139700,220,87.0493,621292457500
05/13/2009,219,224,218,222,11166200,220,87.5352,626940570750
05/14/2009,218,219,208,208,13201300,222,68.2376,587403778000
05/15/2009,212,212,204,209,8775400,208,68.7673,590227834625
05/18/2009,200,210,199.5,209,8749900,209,68.7673,590227834625
05/19/2009,215,222,214,218,15500600,209,73.3975,615644344250
05/20/2009,220,222,218,220,6664700,218,74.309,621292457500
05/21/2009,219,221,209,214,9429700,220,66.9031,604348117750
05/22/2009,214,216,211,215,9988900,214,67.4847,607172174375
05/25/2009,213,216,210,212,6622200,215,63.859,598700004500
05/26/2009,213,213,210,210,3243400,212,61.4872,593051891250
05/27/2009,215,218,212,218,7855600,210,66.799,615644344250
05/28/2009,216,218,214,217,2547300,218,65.5814,612820287625
05/29/2009,220,224,220,220,10972300,217,67.4956,621292457500
06/01/2009,224,232,223,232,10976000,220,73.7779,655181137000
06/02/2009,232,235,225,227,10796200,232,67.8901,641060853875
06/03/2009,230,232,224,226,9474000,227,66.7429,638236797250
06/04/2009,224,229,221,229,7133900,226,68.4645,646849160925
06/05/2009,230,233,228,231,7916400,229,69.5946,652498498575
06/08/2009,230,234,228,229,6128900,231,67.0086,646849160925
06/09/2009,229,232,228,231,4418500,229,68.278,652498498575
06/10/2009,235,244,234,244,14150700,231,75.0089,689219193300
06/11/2009,243,254,243,251,13325100,244,77.7469,708991875075
06/12/2009,258,261,253,258,14086600,251,80.0955,728764556850
06/15/2009,255,257,243,247,14429900,258,67.9581,697693199775
06/16/2009,242,243,237,239,14581200,247,60.7482,675095849175
06/17/2009,235,240,231,234,10977200,239,56.6993,660972505050
06/18/2009,234,235,222,225,11902500,234,50.212,635550485625
06/19/2009,226,234,226,234,9409700,225,55.6738,660972505050
06/22/2009,235,235,227,228,9450700,234,51.6091,644024492100
06/23/2009,220,222,218,222,9437400,228,47.8471,627076479150
06/24/2009,223,230,221,228,8928900,222,51.6432,644024492100
06/25/2009,229,238,228,235,10378000,228,55.6949,663797173875
06/26/2009,240,242,236,237,7991000,235,56.8084,669446511525
06/29/2009,234,238,234,237,5864600,237,56.8084,669446511525
06/30/2009,243,243,231,234,9595800,237,54.4287,660972505050
07/02/2009,235,236,225,229,6439400,234,50.6224,646849160925
07/03/2009,225,228,224,227,4904100,229,49.1421,641199823275
