close,wma,hma
1076.33,1072.64,1062.65
1084.91,1076.54,1069.38
1090.67,1080.54,1074.9
1095.88,1084.5,1078.97
1107.36,1089.72,1081.78
1109.92,1094.32,1084.58
1105.29,1097.25,1087.92
1105.43,1099.72,1091.9
1096.95,1100.12,1096.37
1101.35,1101.17,1100.03
1092.31,1100.25,1102.45
1093.56,1099.26,1103.16
1070.43,1093.9,1102.32
1073.87,1089.54,1099.78
1050.85,1081.4,1096.12
1072.47,1078.21,1090.85
1085.56,1078.09,1084.93
1100.48,1081.03,1079.45
1086.27,1081.48,1075.95
1084.96,1081.89,1075.19
1075.91,1080.95,1076.95
1077.5,1080.6,1080.02
1072.94,1079.71,1082.61
1053.97,1075.33,1083.69
1064.24,1073.17,1081.97
1055.54,1069.19,1078.72
1065.45,1067.32,1074.25
1067,1066.1,1069.98
1076.5,1067.21,1066.39
1073.83,1068.02,1064.52
1065.63,1067.53,1064.31
1059.81,1066.18,1065.47
1057.86,1064.79,1066.91
1046.16,1061.55,1067.61
1034.75,1056.38,1066.9
1014.58,1048.08,1063.98
1016.85,1040.93,1058.79
1020.37,1035.31,1051.7
1015.53,1029.65,1043.73
1034.92,1028.63,1035.66
1030.31,1027.48,1029.14
1019.55,1025.01,1024.98
1018.96,1023.17,1023.19
1013.09,1020.97,1023.04
1027.72,1022.03,1023.27
1023.86,1022.51,1023.24
1014.13,1021.06,1022.82
1022.94,1021.26,1021.91
1010.32,1019.12,1021.1
1013.5,1017.65,1020.47
1033.26,1020.16,1019.67
1041.48,1024.12,1019.2
1090.28,1036.54,1019.57
1084.59,1046.64,1022.73
1072.68,1053.27,1029.47
1083.08,1060.98,1039.13
1088.46,1068.58,1050.56
1077.24,1072.8,1061.92
1062.39,1073.33,1070.87
1077.4,1075.64,1076.28
1079.91,1077.24,1078.48
1083.94,1078.73,1078.36
1096.77,1081.78,1077.88
1101.37,1085.55,1077.77
1104.15,1089.51,1079.19
1121.04,1095.98,1082.53
1127.58,1102.95,1087.72
1121.63,1108.12,1094.14
1130.71,1114.14,1101
1134.38,1119.58,1108.04
1133.53,1123.83,1114.46
1144.14,1129.04,1120.06
1139.61,1132.32,1125
1133.46,1133.71,1129.05
1124.01,1132.8,1132.23
1093.38,1125.96,1134.33
1078.19,1116.86,1134.01
1042.54,1102.18,1130.35
1060.21,1092.14,1122.28
1062.07,1083.73,1110.56
1086.32,1081.04,1096.79
1077.02,1077.52,1084.27
1093.51,1078.21,1075
1089.09,1078.94,1070.89
1069.2,1076.86,1071.51
1067.84,1075.53,1074.56
1057.28,1072.75,1077.86
1046.43,1068.37,1078.87
1025,1060.03,1077.13
1037.22,1054.54,1071.85
1055.63,1052.86,1064.61
1044.97,1049.8,1056.89
1070.05,1051.87,1050.52
1069.13,1054.21,1046.98
1065.18,1056.2,1046.72
1049.23,1055.35,1049.52
1055.6,1056,1053.46
1068.72,1059.07,1057.07
1072.21,1062.37,1059.4
1062.37,1063.02,1060.84
1040.83,1059.3,1061.57
1031.67,1054.18,1061.38
1022.96,1047.71,1060.39
1036.21,1044.52,1057.42
1033.34,1041.4,1052.74
1017.19,1035.92,1046.69
1026.28,1032.68,1040.36
1029.59,1030.57,1035.03
990.59,1022.09,1031.26
958.16,1009.19,1027.83
904.06,988.35,1022.85
946.62,977.73,1013.58
931.6,965.93,1000.41
926.21,954.81,984.17
916.21,943.88,967.08
869.31,926.54,951.53
855.45,909.38,938.13
862.65,896.62,926.09
913.72,896.19,913.95
909.17,896.33,902.71
923.17,899.91,893.26
944.8,907.07,889.04
952.77,915.72,890.73
936.82,921.07,898.65
955.81,929.69,909.91
971.63,940.47,921.66
952.75,945.95,932.46
938.19,947.02,941
909.1,941.42,947.14
916.34,937.22,949.24
942.55,937.66,947.88
938.68,937.04,944.06
960.17,940.45,939.01
973.18,946.08,935.21
974.75,951.33,935.11
956.59,952.94,939.15
965.8,956.5,945.73
957.56,958.32,953.12
957.31,959.75,958.79
956.02,960.06,962.11
983.44,964.64,962.97
967.84,965.64,962.71
968.3,966.19,962.61
970.97,967.08,963.35
984.28,970.43,964.94
984.97,973.73,967.21
997.11,978.72,970.07
993.38,982.47,973.32
984.16,983.89,977.01
965.07,981.35,980.76
977.36,980.88,983.74
976.87,980.43,984.94
980.5,980.47,984.38
967.18,977.87,982.49
984.18,978.44,979.9
988.06,979.71,977.83
995.33,982.24,977.09
1019.15,989.14,977.89
1029.37,997.43,980.79
1030.77,1005.15,985.85
1046.73,1014.58,993.23
1043.24,1022.11,1002.42
1034,1026.75,1012.41
1030.61,1029.81,1021.57
1023.48,1030.42,1028.94
1024.16,1030.43,1033.23
1034.06,1031.59,1034.57
1033.55,1031.95,1033.94
1033.29,1032.01,1032.28
1043.75,1033.89,1030.8
1042.52,1035.31,1030.65
1037.37,1035.88,1031.72
1032.51,1035.67,1033.65
1028.38,1034.73,1035.62
1028.19,1033.8,1036.75
1023.91,1032,1036.74
1025.32,1030.47,1035.53
1036.21,1031.08,1033.36
1036.8,1031.74,1031.23
1036.26,1032.24,1029.89
1044.84,1034.44,1029.65
1053.04,1038.09,1030.77
1051.63,1041.2,1033.19
1052.23,1044.06,1036.49
1044.81,1045.15,1040.23
1037.01,1044.51,1043.61
1056.54,1047.19,1045.96
1051.64,1048.41,1047.5
1058.94,1050.68,1048.08
1058.66,1052.49,1048.51
1062.55,1054.6,1049.38
1063.08,1056.49,1051.06
1056.01,1056.9,1053.41
1068.54,1059.52,1055.87
1076.29,1063.25,1058.11
1074.71,1066.12,1060.2
1083.97,1069.99,1062.5
1086.36,1073.79,1065.18
1091.67,1077.93,1068.62
1098.95,1082.8,1072.68
1094.01,1086.03,1077.32
1101.12,1089.99,1081.91
1116.08,1095.97,1086.25
1117.17,1101.06,1090.71
1112.91,1104.5,1095.21
1117.4,1108.08,1099.67
1106.41,1108.89,1104.16
1126.48,1112.94,1107.88
1120.25,1115.12,1111.11
1129.93,1118.55,1113.53
1135.92,1122.51,1115.55
1140.39,1126.51,1117.89
1137.82,1129.33,1121.01
1140.07,1132.17,1124.71
1146.14,1135.69,1128.71
1135.04,1136.6,1132.66
1146.26,1139.22,1135.68
1160.9,1143.77,1138.21
1164.98,1148.45,1140.31
1165.15,1152.34,1142.9
1157.95,1154.28,1146.24
1153.16,1154.95,1150.14
1168.31,1158.15,1153.85
1158.71,1159.04,1157.14
1150.18,1158.04,1159.28
1153.56,1157.59,1159.88
1164.36,1158.76,1159.55
1171.34,1160.87,1158.87
1189.56,1166.11,1158.59
1189.5,1170.88,1159.74
